window,raw_peak,raw_db,mitigated_peak,peak_suppression_db
1,50607428.12399116,0.0,360060.1625854701,-21.478391937123178
2,43244283.20245166,0.0,345663.0535099731,-20.972757407486903
3,30069571.33357165,0.0,340878.3511955512,-19.45527816374407
4,17229803.09475911,0.0,349727.2380311356,-16.925508562195304
