channel,frequency_MHz,min,median,max
0,134.375,-188733.9567803505,-19118.3075258349,373081.1964707429
1,135.15625,-187411.4993877549,-22242.78254853436,378660.4904406848
2,135.9375,-216154.86124369904,-25023.19699297373,668402.2573219395
3,136.71875,-186651.0766206832,-19986.689444749667,324703.1868288768
4,137.5,-7485953.7940156665,-1354065.5749508205,42560193.47858536
5,138.28125,-186856.01971270575,-20092.115466659223,689149.2159349216
6,139.0625,-240960.088362665,-40517.83036913426,833052.0393618835
7,139.84375,-265618.7013574302,-58747.837630735674,1192590.5499705337
