channel,frequency_MHz,correlation_with_clean,peak_in_disk
0,134.375,1.0,373081.1964707429
1,135.15625,0.9718834885283008,378660.4904406848
2,135.9375,0.8573056921038217,668402.2573219395
3,136.71875,0.8582581892144482,324703.1868288768
4,137.5,0.11400573121145287,42560193.47858536
5,138.28125,0.5464481465441745,689149.2159349216
6,139.0625,0.414402036904809,833052.0393618835
7,139.84375,0.35953395016306694,1192590.5499705337
